,type,latitude,longitude,continent
0,wifi,52.1405,8.5275,Europe
1,wifi,32.9175,-117.1395,North America
2,wifi,55.5985,37.4085,Europe
3,wifi,50.7405,5.5615,Europe
4,wifi,50.6315,5.5575,Europe
5,wifi,52.4375,4.8275,Europe
6,wifi,50.3915,30.4615,Europe
7,wifi,43.0715,-77.5925,North America
8,wifi,46.6615,6.5175,Europe
9,wifi,53.1575,8.6105,Europe
10,wifi,50.4415,30.6685,Europe
11,wifi,51.5375,-0.0515,Europe
12,wifi,55.7585,37.4085,Europe
13,wifi,49.1995,16.6385,Europe
14,wifi,49.1785,16.6885,Europe
15,wifi,52.2905,4.5915,Europe
16,wifi,49.2175,16.5115,Europe
17,wifi,32.8575,-117.2295,North America
18,wifi,55.6905,12.4995,Europe
19,wifi,55.7295,12.5475,Europe
20,wifi,53.3395,83.6605,Europe
21,wifi,43.2615,76.9605,Asia
22,wifi,47.3205,8.5175,Europe
23,wifi,-23.5615,-46.6525,South America
24,wifi,33.4015,-111.7995,North America
25,wifi,49.1675,16.6295,Europe
26,wifi,52.3815,4.8615,Europe
27,wifi,43.1415,-77.6395,North America
28,wifi,14.6005,121.0385,Asia
29,wifi,48.3885,16.5105,Europe
30,wifi,52.4595,4.5895,Europe
31,wifi,38.7205,-9.3225,Europe
32,wifi,52.3375,9.8305,Europe
33,wifi,53.1675,8.6075,Europe
34,wifi,-22.3515,-46.9515,South America
35,wifi,-20.9495,55.3015,Europe
36,wifi,51.4985,7.0195,Europe
37,wifi,50.0085,14.4505,Europe
38,wifi,-33.9985,151.0675,Oceania
39,wifi,50.4985,30.3805,Europe
40,wifi,48.9485,2.1405,Europe
41,wifi,50.4405,30.6185,Europe
42,wifi,49.2175,16.5305,Europe
43,wifi,38.7605,-9.2805,Europe
44,wifi,47.9395,12.9415,Europe
45,wifi,47.4215,8.5985,Europe
46,wifi,45.4275,-122.7115,North America
47,wifi,-31.8215,115.7695,Oceania
48,wifi,55.8275,37.5395,Europe
49,wifi,45.4485,-122.7915,North America
50,cellular,52.3715,4.8975,Europe
51,cellular,48.1275,11.6295,Europe
52,cellular,55.6795,12.5905,Europe
53,cellular,48.0785,11.5515,Europe
54,cellular,50.6905,5.6995,Europe
55,cellular,51.4375,-0.8895,Europe
56,cellular,52.2175,6.0295,Europe
57,cellular,53.2295,6.5285,Europe
58,cellular,42.6975,23.3175,Europe
59,cellular,55.6515,37.5695,Europe
60,cellular,51.4015,-0.7305,Europe
61,cellular,52.0285,8.5285,Europe
62,cellular,48.7985,2.0615,Europe
63,cellular,47.3375,8.6695,Europe
64,cellular,50.4215,30.6885,Europe
65,cellular,47.4815,8.4575,Europe
66,cellular,55.6475,37.5185,Europe
67,cellular,38.7885,-9.3105,Europe
68,cellular,38.7585,-9.2785,Europe
69,cellular,50.6295,5.5585,Europe
70,cellular,53.0985,8.7915,Europe
71,cellular,33.3505,-111.7915,North America
72,cellular,51.4705,6.7575,Europe
73,cellular,51.5115,-0.1295,Europe
74,cellular,47.3715,8.5385,Europe
75,cellular,55.6415,12.6015,Europe
76,cellular,55.6985,12.5905,Europe
77,cellular,50.7085,5.6405,Europe
78,cellular,52.4885,4.6795,Europe
79,cellular,49.2085,16.5995,Europe
