,id,type,latitude,longitude,continent,country code
0,1006833,wifi,10.1385,76.4585,Asia,IN
1,1007500,wifi,48.2475,11.6075,Europe,DE
2,1002768,wifi,45.5215,-122.8095,North America,US
3,1005958,wifi,35.9615,129.3995,Asia,KR
4,1002493,wifi,42.3085,-83.7185,North America,US
5,1000327,wifi,-22.5595,17.0685,Africa,NA
6,50274,wifi,36.0695,32.8405,Asia,TR
7,24628,wifi,-23.6685,-46.7415,South America,BR
8,11268,wifi,47.2815,1.1105,Europe,FR
9,53569,wifi,40.3615,50.0705,Asia,AZ
10,1000559,wifi,42.6915,23.3395,Europe,BG
11,14680,wifi,53.3375,83.7715,Europe,RU
12,1005846,wifi,14.6205,121.0095,Asia,PH
13,14723,wifi,55.7785,37.4585,Europe,RU
14,32,wifi,32.8885,-117.1815,North America,US
15,1002758,wifi,50.1615,16.3595,Europe,CZ
16,32378,wifi,51.4715,6.9205,Europe,DE
17,29049,wifi,30.3615,-91.0005,North America,US
18,53829,wifi,49.2415,28.4985,Europe,UA
19,52028,wifi,42.1615,14.6085,Europe,IT
20,52844,wifi,37.7795,140.4495,Asia,JP
21,61316,wifi,52.3005,9.9075,Europe,DE
22,18833,wifi,41.5885,-4.7315,Europe,ES
23,23016,wifi,44.2605,-78.6625,North America,CA
24,30596,wifi,32.8205,35.0715,Asia,IL
25,55739,wifi,44.9115,8.6085,Europe,IT
26,1006934,wifi,48.2095,22.6385,Europe,UA
27,23835,wifi,48.9095,13.8685,Europe,CZ
28,50927,wifi,56.0505,12.6785,Europe,SE
29,16601,wifi,44.7975,20.3775,Europe,RS
30,24908,wifi,43.0515,-124.4225,North America,US
31,17590,wifi,13.0375,77.7515,Asia,IN
32,1005913,wifi,48.7885,2.1775,Europe,FR
33,1001151,wifi,46.5275,6.6395,Europe,CH
34,55404,wifi,52.3995,4.6275,Europe,NL
35,1006936,wifi,50.3905,30.3685,Europe,UA
36,29292,wifi,50.0185,8.3515,Europe,DE
37,50852,wifi,50.3285,11.6995,Europe,DE
38,54080,wifi,46.2875,-0.4185,Europe,FR
39,60345,wifi,53.1695,6.7995,Europe,NL
40,32006,wifi,49.1305,16.4775,Europe,CZ
41,21529,wifi,50.6415,5.5785,Europe,BE
42,51025,wifi,43.1295,-77.5615,North America,US
43,22585,wifi,49.9995,14.6715,Europe,CZ
44,1004628,wifi,53.0915,8.8785,Europe,DE
45,34009,wifi,49.4115,11.1175,Europe,DE
46,1000068,wifi,49.0515,17.4705,Europe,CZ
47,27119,wifi,32.0215,34.7375,Asia,IL
48,55619,wifi,49.0115,1.5475,Europe,FR
49,1004600,wifi,50.1575,16.9475,Europe,CZ
50,50612,cellular,47.3785,8.5375,Europe,CH
51,1001185,cellular,-31.9505,115.8515,Oceania,AU
52,1002591,cellular,33.4475,-111.7185,North America,US
53,17789,cellular,35.1615,138.6715,Asia,JP
54,32473,cellular,49.9485,82.6305,Asia,KZ
55,863,cellular,-34.9215,-56.1595,South America,UY
56,50024,cellular,55.6395,37.3685,Europe,RU
57,27989,cellular,-33.8985,150.8915,Oceania,AU
58,35507,cellular,-6.4895,106.7875,Asia,ID
59,20948,cellular,29.3815,47.9795,Asia,KW
60,1003040,cellular,40.8875,-74.6805,North America,US
61,60985,cellular,6.4495,2.3515,Africa,BJ
62,52640,cellular,-20.9525,55.3395,Europe,FR
63,27363,cellular,53.1285,17.9905,Europe,PL
64,61868,cellular,61.2415,-149.8395,North America,US
65,3028,cellular,37.2915,23.1685,Europe,GR
66,51136,cellular,52.7905,-2.5615,Europe,GB
67,20102,cellular,60.6985,24.4575,Europe,FI
68,1005633,cellular,-43.8115,172.9085,Oceania,NZ
69,24080,cellular,48.6575,15.1615,Europe,AT
70,54789,cellular,47.9115,106.9315,Asia,MN
71,54524,cellular,1.3295,103.9285,Asia,SG
72,1000736,cellular,6.2505,-75.5715,South America,CO
73,1006110,cellular,-22.3525,-46.9525,South America,BR
74,35462,cellular,50.4485,30.5205,Europe,UA
75,30235,cellular,49.7995,73.1085,Asia,KZ
76,50705,cellular,55.6995,12.5575,Europe,DK
77,1005072,cellular,52.1685,6.1405,Europe,NL
78,11902,cellular,46.3385,48.0475,Europe,RU
79,31159,cellular,35.7315,51.3795,Asia,IR
80,1005856,cellular,13.7405,100.5495,Asia,TH
81,27411,cellular,36.8475,10.2575,Africa,TN
82,34648,cellular,38.7215,-9.1405,Europe,PT
83,1004198,cellular,63.3315,17.0715,Europe,SE
84,32433,cellular,42.8985,71.3785,Asia,KZ
85,26057,cellular,56.3805,24.2295,Europe,LV
86,55036,cellular,51.5505,0.0485,Europe,GB
87,28126,cellular,42.2705,23.5385,Europe,BG
88,50719,cellular,45.4015,11.3275,Europe,IT
89,30952,cellular,24.4785,39.5495,Asia,SA
90,15644,cellular,58.7695,5.9795,Europe,NO
91,15342,cellular,12.3985,-1.5605,Africa,BF
92,1000551,cellular,41.0075,28.9795,Asia,TR
93,50081,cellular,52.1475,8.6515,Europe,DE
94,1002626,cellular,33.0805,-117.3115,North America,US
95,53870,cellular,52.0575,14.2205,Europe,DE
96,1000234,cellular,48.0995,11.5285,Europe,DE
97,25225,cellular,51.1095,20.3485,Europe,PL
98,1000879,cellular,54.8615,82.9205,Europe,RU
99,30213,cellular,43.2385,76.8975,Asia,KZ
100,11585,starlink,59.6395,17.9215,Europe,SE
101,54330,starlink,34.2875,-94.2715,North America,US
102,52918,starlink,-21.9285,114.1175,Oceania,AU
103,23127,starlink,43.2505,-124.3915,North America,US
104,61241,starlink,48.7475,2.4895,Europe,FR
105,60797,starlink,-20.8795,55.4515,Europe,FR
106,1004453,starlink,-33.8715,151.1995,Oceania,AU
107,50017,starlink,39.1005,-77.9625,North America,US
108,1006477,starlink,11.2605,124.0305,Asia,PH
109,18250,starlink,14.0875,-87.1805,North America,HN
110,1007159,starlink,18.5315,-72.2705,North America,HT
